ZIP;AGE;GENDER;INCOME;STATE;RAMNTALL;NGIFTALL;MINRAMNT
33308;85;Male;1000;FL;249;26;5
27406;74;Male;1000;NC;41;3;10
32541;69;Male;4000;FL;40;5;5
93311;38;Female;4000;CA;73;6;5
94536;36;Female;6000;CA;30;2;10
62901;60;Female;7000;IL;104;17;3
90302;50;Male;6000;CA;15;1;15
59454;78;Male;4000;MT;175;14;5
33827;62;Female;1000;FL;158;15;5
34243;75;Male;6000;FL;203;10;10
78240;70;Female;7000;TX;92;6;10
30084;74;Female;5000;GA;115;12;3
33066;78;Female;1000;FL;97;13;5
90802;53;Female;3000;CA;29;4;5
27514;74;Female;7000;NC;75;5;5
55106;82;Female;5000;MN;138;16;5
95123;78;Male;5000;CA;72;10;3
63301;49;Male;7000;MO;220;12;10
53142;74;Female;3000;WI;91;10;3
63126;67;Male;3000;MO;289;33;3
75158;34;Female;3000;TX;143;12;5
34990;50;Female;5000;FL;15;1;15
95212;67;Male;6000;CA;97;7;10
92683;74;Male;6000;CA;82;8;5
74501;76;Female;3000;OK;68;8;5
92679;58;Male;7000;CA;140;7;5
90638;78;Male;4000;CA;35;5;5
97801;50;Male;1000;OR;158;15;5
33055;36;Male;2000;FL;73;9;3
62056;45;Female;5000;IL;133;15;3
85326;64;Female;2000;AZ;132;11;10
34608;82;Female;2000;FL;83;6;10
75019;46;Male;6000;TX;331;16;5
71483;48;Female;4000;LA;20;1;20
49120;46;Male;5000;MI;156;9;10
73036;66;Male;2000;OK;29;7;3
47441;88;Female;2000;IN;286;17;10
30047;55;Male;6000;GA;117;9;10
55117;84;Male;2000;MN;74;9;5
30260;56;Female;5000;GA;92;6;10
49601;62;Male;5000;MI;152;18;3
54162;51;Male;2000;WI;129;18;3
35773;46;Female;7000;AL;415;34;5
49228;72;Male;3000;MI;22;3;5
49707;48;Male;7000;MI;162;12;3
30033;75;Male;5000;GA;148;14;5
79936;81;Male;5000;TX;217;51;2
64080;94;Male;2000;MO;104;14;3
60014;68;U;7000;IL;83;7;5
30060;52;Female;5000;GA;56;4;10
28056;39;Male;7000;NC;105;3;20
77536;55;Female;5000;TX;75;2;25
61744;87;Female;2000;IL;199;14;5
93705;82;Female;2000;CA;15;1;15
66061;52;Female;7000;KS;20;1;20
70506;55;Male;5000;LA;75;15;5
94526;70;Female;6000;CA;18;2;3
48214;74;Female;1000;MI;177;13;5
27536;56;Female;3000;NC;30;2;10
94044;70;Male;1000;CA;37;3;10
85208;72;Male;5000;AZ;126;10;10
53212;58;Female;1000;WI;24;3;2
30044;53;J;5000;GA;272;15;5
60477;52;Male;7000;IL;25;1;25
28025;58;Female;4000;NC;117;8;10
95949;63;Female;4000;CA;65;4;10
39530;73;Male;5000;MS;300;16;5
75208;54;Female;1000;TX;153;16;2
87110;40;Female;3000;NM;108;13;3
86442;84;Female;5000;AZ;52;4;10
27704;67;Female;1000;NC;77;9;5
54911;59;Female;3000;WI;51;5;6
48054;93;Female;2000;MI;107;7;10
91786;55;Female;7000;CA;20;1;20
79109;65;Male;3000;TX;25;2;5
61821;70;Female;5000;IL;35;3;5
33844;81;Male;4000;FL;199;18;3
27263;49;Male;5000;NC;182;20;5
75006;50;Female;6000;TX;75;2;25
53910;46;Female;5000;WI;51;4;5
48035;60;Male;5000;MI;20;1;20
98125;57;Male;3000;WA;44;4;5
76012;79;Male;2000;TX;115;12;5
96744;72;Male;3000;HI;51;4;10
79606;46;Male;7000;TX;60;3;20
48433;82;Female;1000;MI;194;16;5
49442;83;Male;2000;MI;63;7;5
60172;40;Male;5000;IL;25;1;25
95661;69;Male;7000;CA;115;13;5
75672;83;Female;2000;TX;107;14;5
27587;42;Male;7000;NC;87;6;5
53154;51;Female;4000;WI;139;10;5
38501;44;Male;4000;TN;20;1;20
95820;54;Female;3000;CA;169;11;10
33703;46;Female;4000;FL;48;10;3
38901;38;Female;4000;MS;55;10;3
96745;80;Female;7000;HI;181;12;5
37379;54;Female;5000;TN;49;6;5
60631;86;Male;1000;IL;113;16;5
62002;48;Male;4000;IL;175;6;25
98360;46;Female;3000;WA;178;21;3
94040;75;Male;5000;CA;20;2;5
60443;42;Male;5000;IL;25;1;25
38401;44;Female;4000;TN;134;8;10
37087;52;Male;6000;TN;93;10;7
27215;67;Female;5000;NC;66;19;1
53550;46;Male;2000;WI;64;5;10
48230;42;Female;6000;MI;114;11;5
95376;54;Male;7000;CA;122;7;5
48161;84;Male;3000;MI;42;15;1
92543;82;Male;4000;CA;119;11;5
34481;73;Male;1000;FL;136;10;3
92625;66;Male;4000;CA;15;1;15
60617;46;Female;3000;IL;25;2;10
37643;68;Male;1000;TN;173;11;5
80537;56;Female;5000;CO;41;5;5
92084;88;Male;6000;CA;180;5;10
35117;53;Female;4000;AL;78;6;5
94965;89;Female;4000;CA;110;15;3
77511;83;Male;5000;TX;613;9;3
33162;52;Male;4000;FL;126;10;5
60626;43;Female;1000;IL;51;4;3
58102;67;Female;2000;ND;83;19;2
61010;39;Male;5000;IL;190;13;5
47714;49;Male;5000;IN;69;6;5
85715;62;Male;7000;AZ;135;20;4
49068;71;Male;2000;MI;79;7;5
95409;87;Female;1000;CA;72;24;1
53151;72;Female;1000;WI;117;17;3
92336;72;Male;5000;CA;45;2;20
80501;80;Male;7000;CO;31;6;3
72103;77;Female;5000;AR;34;5;5
27970;97;Female;2000;NC;105;14;3
72032;56;Female;7000;AR;194;14;5
36907;61;Female;1000;AL;161;44;2
33437;75;Male;2000;FL;135;15;5
77657;40;Female;6000;TX;90;5;10
88352;59;Male;2000;NM;53;9;3
73501;50;Female;6000;OK;61;4;5
90046;70;Female;4000;CA;464;21;5
49335;48;Male;3000;MI;165;7;5
35811;90;Female;5000;AL;61;16;2
97754;88;Male;6000;OR;108;9;5
90703;53;Male;6000;CA;15;1;15
49071;61;Male;2000;MI;198;13;5
52225;83;Male;2000;IA;86;7;5
33177;41;Male;3000;FL;106;12;3
63127;52;Male;4000;MO;20;1;20
80103;83;Male;3000;CO;71;5;10
34465;74;Male;3000;FL;58;15;2
48126;31;Female;7000;MI;20;1;20
98072;75;Male;6000;WA;15;1;15
80022;58;Female;4000;CO;77;7;5
67212;86;Female;1000;KS;15;1;15
74464;64;Male;7000;OK;38;7;3
77905;61;Male;4000;TX;56;6;3
53118;40;Male;5000;WI;45;3;10
92056;78;Female;3000;CA;50;3;10
92057;83;Male;4000;CA;72;4;15
95630;64;Female;1000;CA;67;4;10
64129;77;Male;2000;MO;74;7;5
32110;88;Female;2000;FL;30;3;5
93065;60;Male;6000;CA;48;2;24
75667;83;Female;2000;TX;97;8;5
30310;64;Male;4000;GA;45;2;20
91780;38;Male;5000;CA;89;7;7
90603;83;Female;5000;CA;98;14;3
97355;85;Female;5000;OR;1248;71;0
98383;44;Female;3000;WA;76;5;10
80241;49;Male;2000;CO;26;4;4
42748;72;Male;3000;KY;77;7;5
98155;59;Male;5000;WA;93;14;3
92139;66;Male;4000;CA;366;28;5
78242;69;Male;4000;TX;108;9;5
28208;49;Male;4000;NC;40;4;3
30179;66;Female;6000;GA;55;5;5
47396;50;Female;4000;IN;131;9;5
98292;59;Male;6000;WA;65;5;10
48313;63;Male;7000;MI;190;17;5
33156;48;Male;6000;FL;25;1;25
93035;51;Female;7000;CA;91;5;5
89128;52;Male;5000;NV;35;3;10
65452;71;Male;1000;MO;141;18;2
78801;74;Female;4000;TX;45;3;5
55396;64;Male;5000;MN;40;2;20
60139;82;Male;5000;IL;22;2;7
78727;46;Female;5000;TX;138;24;2
93401;84;Male;5000;CA;115;8;5
60429;91;Female;1000;IL;130;10;3
30349;68;Male;5000;GA;520;26;10
48079;60;Female;2000;MI;74;6;5
49442;46;Female;2000;MI;55;3;10
92021;60;Male;4000;CA;62;10;5
86045;48;Female;5000;AZ;64;12;3
98125;51;Male;4000;WA;74;5;10
84121;34;Male;7000;UT;40;3;5
74075;72;Male;3000;OK;46;4;5
78721;54;Female;4000;TX;51;3;15
68701;40;Female;5000;NE;20;2;5
60025;81;Male;6000;IL;15;1;15
93705;88;Male;5000;CA;61;4;10
28717;76;Male;5000;NC;94;9;2
37686;47;Female;7000;TN;57;4;10
64134;79;Male;2000;MO;94;12;5
60558;58;Male;5000;IL;55;10;3
70123;70;Female;1000;LA;25;2;10
63376;86;Male;5000;MO;69;14;3
55744;81;Male;2000;MN;335;12;20
38651;37;Female;5000;MS;42;4;5
98942;60;Female;2000;WA;190;10;10
77091;65;Male;6000;TX;25;3;5
60628;69;Male;4000;IL;42;3;10
63119;39;Female;4000;MO;15;1;15
33415;68;Male;1000;FL;35;5;5
56172;70;Female;3000;MN;157;13;0
30152;69;Male;6000;GA;95;4;5
84075;26;Female;3000;UT;15;1;15
92505;92;Female;4000;CA;51;3;15
32207;42;Female;6000;FL;106;8;5
99156;84;Male;3000;WA;210;21;5
55106;60;Male;2000;MN;63;12;3
84010;47;Female;5000;UT;142;11;10
32824;46;Male;2000;FL;51;3;15
89122;59;Female;2000;NV;70;5;10
30752;65;Female;2000;GA;379;46;2
64633;89;Female;1000;MO;638;15;3
33004;73;Male;6000;FL;83;5;10
64116;51;Male;5000;MO;95;11;3
94579;38;Female;4000;CA;40;2;20
33161;72;Female;1000;FL;401;51;3
36801;42;Female;5000;AL;142;19;3
61103;43;Male;7000;IL;484;39;3
94530;38;Male;5000;CA;131;17;5
60187;71;Male;5000;IL;52;4;10
91304;50;Female;5000;CA;66;5;5
59105;28;Female;2000;MT;30;2;15
93004;72;Female;1000;CA;72;8;3
60447;56;Male;6000;IL;20;1;20
39337;74;Male;5000;MS;71;9;3
98178;81;Male;6000;WA;77;17;1
29360;74;Female;1000;SC;145;16;5
93720;69;Female;2000;CA;345;36;5
55044;78;Male;3000;MN;192;21;3
46220;32;Female;2000;IN;45;2;20
28137;44;Female;3000;NC;55;3;15
68123;35;Female;5000;NE;60;4;10
48826;40;Female;5000;MI;32;3;5
33433;80;Female;1000;FL;49;3;15
85351;89;Female;4000;AZ;135;18;2
34711;28;Male;5000;FL;40;5;5
29591;55;Male;1000;SC;63;11;3
60457;73;Male;3000;IL;25;2;10
61704;47;Male;7000;IL;55;4;5
34231;21;Male;5000;FL;167;9;2
29812;65;Female;3000;SC;101;8;3
91702;60;Male;4000;CA;133;25;3
97850;85;U;1000;OR;73;10;5
33756;90;Female;2000;FL;108;16;3
64050;60;Female;2000;MO;22;2;7
85710;77;Female;4000;AZ;106;13;3
30066;72;Male;1000;GA;25;1;25
51104;79;Male;2000;IA;148;17;2
93436;68;Male;6000;CA;15;1;15
98004;30;Male;7000;WA;45;5;5
98264;38;Male;2000;WA;50;3;10
29841;54;Male;6000;SC;92;10;3
92019;65;Female;6000;CA;30;2;10
91761;34;Male;4000;CA;48;3;13
65041;42;Male;7000;MO;141;14;3
71129;78;Male;4000;LA;94;9;5
75904;32;Female;5000;TX;54;4;10
90305;72;Female;2000;CA;84;6;5
27107;84;Male;1000;NC;25;1;25
72315;79;Male;3000;AR;35;2;10
95127;43;Male;4000;CA;172;12;10
77586;63;Male;6000;TX;90;5;10
79925;81;Female;2000;TX;193;19;5
98862;73;Female;2000;WA;123;19;4
95124;73;Male;5000;CA;82;15;3
35124;74;Female;6000;AL;25;1;25
90278;71;Female;7000;CA;308;32;3
49426;75;Female;3000;MI;103;8;3
38920;64;Male;3000;MS;43;4;5
92648;36;Male;5000;CA;30;3;5
60617;56;Female;4000;IL;50;2;25
71203;74;Female;4000;LA;185;20;3
98682;86;Female;2000;WA;1405;14;5
41169;62;Male;4000;KY;31;3;5
55009;75;Male;5000;MN;62;11;2
28673;58;Male;3000;NC;106;29;3
77061;73;Male;5000;TX;49;3;10
98023;39;Female;7000;WA;15;1;15
49242;45;Male;1000;MI;130;13;5
76022;81;Female;3000;TX;126;29;2
53210;74;Female;1000;WI;125;39;2
79924;42;J;2000;TX;148;17;5
95949;52;Female;5000;CA;26;2;5
77002;79;Male;3000;TX;40;2;15
39439;58;Female;3000;MS;181;6;25
47613;64;Male;1000;IN;126;22;3
28540;86;Female;2000;NC;60;6;10
78201;49;Female;1000;TX;35;5;5
53186;41;Female;5000;WI;136;16;3
32539;65;Male;3000;FL;79;6;5
98686;72;Male;3000;WA;64;5;10
32301;78;Male;3000;FL;52;5;10
94611;73;Female;6000;CA;320;33;5
28539;54;Female;3000;NC;156;32;3
54304;85;Female;2000;WI;346;29;5
53110;68;Female;4000;WI;38;5;3
98685;76;Male;5000;WA;115;10;3
32246;68;Male;1000;FL;15;1;15
85367;66;Female;2000;AZ;20;1;20
99324;50;Female;5000;WA;155;8;10
97233;67;Male;4000;OR;103;12;5
95945;36;Male;4000;CA;35;2;10
62226;86;Male;2000;IL;108;13;3
64063;38;Female;5000;MO;59;6;5
94587;80;Male;1000;CA;267;11;10
95380;60;Female;2000;CA;178;30;3
77521;54;Female;5000;TX;36;3;10
98925;62;Male;3000;WA;75;6;5
27828;73;Female;1000;NC;71;4;6
95667;54;Female;6000;CA;56;4;5
77059;66;Male;7000;TX;61;3;6
67854;86;Female;4000;KS;205;15;10
85920;69;Female;2000;AZ;88;13;2
33462;58;Male;3000;FL;51;4;5
85345;72;Male;4000;AZ;100;11;5
85653;82;Male;1000;AZ;183;19;5
60103;35;Female;7000;IL;62;3;10
57701;63;Female;3000;SD;90;9;5
60505;74;Female;1000;IL;319;33;5
94044;46;Female;4000;CA;448;22;5
33801;82;Female;2000;FL;75;31;2
30068;50;Male;6000;GA;70;3;20
37803;56;Female;6000;TN;143;17;3
62036;62;Male;3000;IL;48;4;3
50310;59;Male;3000;IA;77;8;5
98110;82;Female;5000;WA;89;5;15
48017;42;Female;5000;MI;116;6;10
32063;67;Female;6000;FL;125;5;25
33023;70;Female;3000;FL;103;13;5
92780;53;Female;6000;CA;20;2;5
61048;75;Male;2000;IL;89;22;1
75082;58;Female;6000;TX;114;11;3
35077;55;Male;2000;AL;112;10;10
37742;48;Female;4000;TN;20;1;20
39307;75;Female;2000;MS;32;4;5
54110;88;Female;1000;WI;127;41;1
71106;82;Female;2000;LA;60;7;5
76114;42;Female;4000;TX;25;3;5
48001;58;Male;6000;MI;25;1;25
32765;62;Female;2000;FL;67;5;10
48101;55;U;4000;MI;162;25;3
28173;74;Male;2000;NC;127;4;12
98168;88;Female;6000;WA;476;35;5
76513;30;Male;5000;TX;46;3;10
74873;88;Male;2000;OK;445;15;5
48917;43;Male;6000;MI;82;6;10
63044;46;Male;6000;MO;47;4;10
55441;77;Female;3000;MN;85;12;3
49504;54;Female;3000;MI;36;4;5
92373;69;Male;7000;CA;142;11;3
94025;67;Female;1000;CA;30;2;10
33063;73;U;4000;FL;105;3;25
77521;59;Male;7000;TX;98;27;2
97008;74;Female;5000;OR;53;6;5
95310;68;Female;7000;CA;582;31;5
59804;48;Female;4000;MT;31;4;5
67212;52;Male;4000;KS;65;10;5
99161;43;Male;5000;WA;47;3;10
95677;62;Female;4000;CA;202;3;50
46320;84;Male;5000;IN;57;4;5
99208;45;Male;5000;WA;26;3;5
35987;76;Male;2000;AL;460;29;7
36116;70;U;2000;AL;212;27;5
80540;78;U;2000;CO;186;10;5
31792;70;Male;5000;GA;184;16;5
55803;64;Female;5000;MN;43;11;2
96003;72;Female;2000;CA;110;5;10
33196;32;Female;2000;FL;26;2;10
95685;66;Male;5000;CA;55;2;25
33610;44;Female;4000;FL;79;21;2
80005;56;Female;5000;CO;108;16;5
74403;76;Female;5000;OK;79;13;3
34292;81;Female;1000;FL;277;19;2
93638;71;Male;7000;CA;112;6;10
32417;90;Female;5000;FL;133;11;5
80925;30;Female;4000;CO;68;4;15
30331;35;Male;4000;GA;102;5;15
33076;34;Male;7000;FL;136;19;3
93274;59;Female;3000;CA;125;11;5
86515;54;Male;2000;AZ;20;1;20
71227;44;Female;4000;LA;51;3;10
53038;44;Male;4000;WI;30;2;5
33313;89;Male;2000;FL;98;13;3
83501;52;Female;2000;ID;25;4;5
48471;78;Male;1000;MI;86;9;3
60610;78;Female;2000;IL;20;2;5
60435;60;Male;5000;IL;92;4;20
84041;30;Male;2000;UT;92;9;10
93455;75;Female;6000;CA;150;5;25
75209;75;Female;6000;TX;119;10;10
66061;57;Female;5000;KS;36;8;3
98296;65;Male;3000;WA;60;2;30
33029;64;Male;7000;FL;98;7;6
95949;44;Female;5000;CA;126;13;3
33837;42;Male;3000;FL;37;4;5
54527;87;Female;1000;WI;109;17;3
40165;80;Female;4000;KY;79;16;2
73507;71;Male;3000;OK;30;3;5
94546;78;Female;5000;CA;98;15;3
37803;50;Female;5000;TN;25;1;25
32548;76;Female;4000;FL;45;1;45
71106;78;Female;4000;LA;141;13;5
50510;91;Female;1000;IA;83;16;2
53207;41;Male;5000;WI;78;17;3
97009;53;U;5000;OR;320;13;10
39090;80;Male;2000;MS;25;1;25
48331;66;Male;6000;MI;177;19;5
32927;40;Female;4000;FL;26;4;5
37066;41;Female;3000;TN;68;10;3
93560;34;Male;3000;CA;30;2;10
30024;41;Male;7000;GA;61;5;5
33948;68;Female;2000;FL;102;20;2
48323;80;Female;2000;MI;137;8;10
77362;40;Female;2000;TX;15;1;15
30340;55;Female;5000;GA;40;2;15
27107;82;Female;1000;NC;80;7;5
40504;77;Female;1000;KY;40;2;20
73106;42;Male;3000;OK;91;5;10
31021;68;Female;4000;GA;208;27;1
47994;42;Female;3000;IN;47;6;2
62033;82;Female;1000;IL;93;8;7
40165;48;Female;7000;KY;26;2;10
77065;56;Male;5000;TX;25;1;25
38109;85;Female;5000;TN;285;21;5
65270;48;Female;6000;MO;135;20;4
34471;76;Female;4000;FL;111;12;5
29631;42;Male;6000;SC;38;5;5
75021;71;Female;4000;TX;143;17;3
60010;79;Female;6000;IL;105;5;5
80918;82;Male;4000;CO;110;10;5
30338;50;Female;6000;GA;145;3;20
77662;56;Male;7000;TX;42;5;6
35801;51;Female;4000;AL;329;27;5
60016;79;Male;4000;IL;69;5;10
49201;59;Female;5000;MI;164;13;5
62035;70;Male;2000;IL;135;8;5
89119;61;Female;5000;NV;205;18;5
71018;92;Female;4000;LA;151;23;3
89107;42;Female;1000;NV;41;4;5
33316;82;Male;1000;FL;418;31;3
46236;59;Female;5000;IN;58;5;6
60646;81;Female;5000;IL;93;7;5
97321;52;Male;2000;OR;87;6;5
78729;52;Female;5000;TX;45;2;20
94121;55;Male;4000;CA;74;8;3
35802;52;Male;7000;AL;116;15;3
80525;74;Male;1000;CO;138;13;3
32578;46;Female;5000;FL;71;7;5
91030;52;Female;7000;CA;28;2;3
90029;52;Female;1000;CA;93;11;5
53081;73;Female;2000;WI;169;23;3
93552;41;Male;5000;CA;25;1;25
48849;87;Female;6000;MI;152;22;2
64129;36;Female;2000;MO;190;9;10
37066;65;Female;3000;TN;152;19;5
33569;52;Female;5000;FL;33;4;3
33173;48;Female;4000;FL;15;1;15
53090;78;Male;1000;WI;135;18;3
80904;78;Male;1000;CO;81;8;5
32176;66;Male;2000;FL;110;2;50
98223;59;Male;5000;WA;347;32;5
91504;81;Female;5000;CA;98;6;5
64137;69;Male;6000;MO;60;3;15
59327;74;Male;1000;MT;15;1;15
32541;52;Male;2000;FL;61;6;5
33312;57;Female;4000;FL;56;8;3
27596;70;Male;5000;NC;211;13;5
79836;34;Female;1000;TX;99;18;3
55337;46;Female;7000;MN;37;3;10
55044;73;Female;3000;MN;86;13;3
76691;50;Male;2000;TX;40;2;20
79121;44;Male;7000;TX;119;9;5
60630;52;Female;3000;IL;78;5;10
33056;54;Female;5000;FL;36;4;5
34667;93;Female;2000;FL;20;1;20
95128;42;Female;6000;CA;143;8;10
75082;52;Female;6000;TX;25;1;25
73129;39;Male;2000;OK;57;8;5
82435;56;Female;4000;WY;57;4;5
97448;76;Female;1000;OR;117;12;5
37204;52;Female;6000;TN;20;1;20
63366;88;Female;6000;MO;153;45;2
72762;75;Female;5000;AR;193;10;3
92021;79;Male;2000;CA;119;10;5
29617;81;Female;2000;SC;180;11;5
65801;88;Female;2000;MO;57;18;1
63401;78;Female;2000;MO;103;24;2
88101;76;Male;6000;NM;31;4;5
91750;45;Female;5000;CA;225;7;20
63114;82;Male;2000;MO;197;14;10
37336;78;Female;3000;TN;20;1;20
28405;50;Female;4000;NC;33;4;5
59101;38;Female;5000;MT;80;6;5
31008;61;Female;5000;GA;50;3;10
75115;87;Female;1000;TX;105;12;5
93701;37;Male;1000;CA;50;4;5
38556;66;Male;7000;TN;25;3;5
53143;75;Female;1000;WI;102;10;3
49076;59;Female;2000;MI;141;17;5
87068;56;Female;5000;NM;48;11;2
55438;45;Female;7000;MN;55;5;5
60067;67;Female;4000;IL;165;7;10
60409;73;Male;3000;IL;71;7;3
61068;78;Male;2000;IL;168;28;2
32112;79;Female;1000;FL;89;21;2
87108;64;Male;2000;NM;105;6;10
31763;76;Female;7000;GA;100;4;15
91734;50;Female;4000;CA;41;9;3
54728;83;Female;1000;WI;63;13;3
68154;79;Female;7000;NE;65;7;5
97114;34;Male;4000;OR;60;5;10
48227;54;Female;3000;MI;30;2;15
31406;63;Male;6000;GA;89;8;5
70570;29;Female;3000;LA;20;1;20
94602;92;Male;5000;CA;225;13;5
93535;55;Female;4000;CA;255;8;25
60172;63;Female;3000;IL;78;8;5
68847;73;Male;2000;NE;280;22;3
80127;45;Female;5000;CO;60;3;20
53140;75;Male;2000;WI;168;21;3
94588;67;Male;4000;CA;135;13;5
92084;76;Female;1000;CA;25;3;5
90232;66;Female;7000;CA;112;12;2
63051;77;Male;3000;MO;113;17;3
64037;33;Male;1000;MO;30;2;15
89102;32;Male;1000;NV;28;2;8
47638;84;Male;1000;IN;126;19;2
90020;78;Female;5000;CA;101;7;12
28262;60;Female;5000;NC;98;12;3
80122;70;Female;5000;CO;386;38;2
